Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
4438_S1_L002_R1_001_fc	67.6456896876	51.0	125.650704117	56652626.0	27.2727272727
4438_S1_L002_R2_001_fc	63.9127715032	51.0	125.077658201	56652626.0	18.1818181818
4460_S2_L002_R1_001_fc	76.6954210227	53.0	126.17766054	61559590.0	27.2727272727
4460_S2_L002_R2_001_fc	71.9790119097	52.0	125.452713753	61559590.0	18.1818181818
4474_S3_L002_R1_001_fc	73.7798541792	52.0	126.414484179	61433334.0	27.2727272727
4474_S3_L002_R2_001_fc	69.8249306961	52.0	125.794798261	61433334.0	27.2727272727
4501_S4_L002_R1_001_fc	61.4299376048	50.0	127.720232321	33508281.0	36.3636363636
4501_S4_L002_R2_001_fc	56.983272087	50.0	127.049594487	33508281.0	27.2727272727
4510_S5_L002_R1_001_fc	61.022574911	51.0	131.025796054	29151009.0	27.2727272727
4510_S5_L002_R2_001_fc	60.0074680246	52.0	130.442972523	29151009.0	18.1818181818
4520_S6_L002_R1_001_fc	79.5235858778	54.0	129.881550556	61728707.0	36.3636363636
4520_S6_L002_R2_001_fc	75.6499895015	54.0	129.13888368	61728707.0	27.2727272727
DC1MINUS_S7_L002_R1_001_fc	77.0804407356	53.0	130.049353083	52850558.0	27.2727272727
DC1MINUS_S7_L002_R2_001_fc	73.8009301979	53.0	129.280260636	52850558.0	18.1818181818
DC1PLUS_S8_L002_R1_001_fc	78.8677556542	53.0	130.06934652	61400399.0	27.2727272727
DC1PLUS_S8_L002_R2_001_fc	36.552313233	53.0	128.798804137	86632.0	9.09090909091
DC2MINUES_S9_L002_R1_001_fc	78.1356977177	53.0	126.817002307	56821913.0	27.2727272727
DC2MINUES_S9_L002_R2_001_fc	74.6708449773	53.0	126.049019047	56821913.0	18.1818181818
DC2PLUS_S10_L002_R1_001_fc	77.8622166236	54.0	124.500811919	49718625.0	36.3636363636
DC2PLUS_S10_L002_R2_001_fc	73.3688563556	53.0	123.895282925	49718625.0	18.1818181818
DC2Pool_NoIndex_L001_R1_001_fc	51.5542874358	41.0	148.742367809	20048993.0	27.2727272727
DC2Pool_NoIndex_L001_R2_001_fc	18.1704529302	41.0	145.513878677	20048993.0	27.2727272727
DC3Pool_NoIndex_L001_R1_001_fc	38.8609954194	41.0	145.095554308	18601830.0	18.1818181818
DC3Pool_NoIndex_L001_R2_001_fc	7.24675271855	41.0	141.247896363	18601830.0	27.2727272727
DC4MINUS_S11_L002_R1_001_fc	73.5986773236	52.0	128.236033253	48851532.0	36.3636363636
DC4MINUS_S11_L002_R2_001_fc	70.7850056288	52.0	127.44279596	48851532.0	18.1818181818
DC4PLUS_S12_L002_R1_001_fc	74.8811215736	51.0	129.560858318	57878070.0	27.2727272727
DC4PLUS_S12_L002_R2_001_fc	73.2748141828	51.0	128.933264413	57878070.0	18.1818181818
MischiefMinus_S12_L002_R1_001_fc	45.0729619561	44.0	145.33677475	50629823.0	27.2727272727
MischiefMinus_S12_L002_R2_001_fc	29.090007398	45.0	145.124710983	50629823.0	18.1818181818
MischiefPlus_S11_L002_R1_001_fc	45.2597858527	44.0	146.723608065	59835628.0	27.2727272727
MischiefPlus_S11_L002_R2_001_fc	26.8734965512	44.0	146.537857311	59835628.0	18.1818181818
X2654MINUS_S13_L002_R1_001_fc	77.466586098	53.0	131.220599661	39771557.0	27.2727272727
X2654MINUS_S13_L002_R2_001_fc	73.39264306	53.0	130.484811218	39771557.0	18.1818181818
X2654PLUS_S14_L002_R1_001_fc	78.2027794877	53.0	130.717193559	46438122.0	27.2727272727
X2654PLUS_S14_L002_R2_001_fc	74.7792631633	53.0	129.917272107	46438122.0	18.1818181818
