Module	Section	Sample Name	Source
FastQC	all_sections	4474_S3_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4474_S3_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	4520_S6_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4520_S6_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	4501_S4_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4501_S4_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	MischiefPlus_S11_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/MischiefPlus_S11_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	X2654MINUS_S13_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/X2654MINUS_S13_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	4510_S5_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4510_S5_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	4510_S5_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4510_S5_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	DC1PLUS_S8_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC1PLUS_S8_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	4438_S1_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4438_S1_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	DC2PLUS_S10_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC2PLUS_S10_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	DC4MINUS_S11_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC4MINUS_S11_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	DC2MINUES_S9_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC2MINUES_S9_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	DC2Pool_NoIndex_L001_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC2Pool_NoIndex_L001_R1_001_fc_fastqc.zip
FastQC	all_sections	DC3Pool_NoIndex_L001_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC3Pool_NoIndex_L001_R2_001_fc_fastqc.zip
FastQC	all_sections	4501_S4_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4501_S4_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	4460_S2_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4460_S2_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	4460_S2_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4460_S2_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	4438_S1_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4438_S1_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	4520_S6_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4520_S6_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	DC2PLUS_S10_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC2PLUS_S10_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	DC1MINUS_S7_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC1MINUS_S7_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	MischiefMinus_S12_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/MischiefMinus_S12_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	DC4MINUS_S11_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC4MINUS_S11_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	DC1PLUS_S8_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC1PLUS_S8_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	DC1MINUS_S7_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC1MINUS_S7_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	DC2Pool_NoIndex_L001_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC2Pool_NoIndex_L001_R2_001_fc_fastqc.zip
FastQC	all_sections	X2654PLUS_S14_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/X2654PLUS_S14_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	DC4PLUS_S12_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC4PLUS_S12_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	MischiefMinus_S12_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/MischiefMinus_S12_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	DC2MINUES_S9_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC2MINUES_S9_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	X2654PLUS_S14_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/X2654PLUS_S14_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	MischiefPlus_S11_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/MischiefPlus_S11_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	DC3Pool_NoIndex_L001_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC3Pool_NoIndex_L001_R1_001_fc_fastqc.zip
FastQC	all_sections	4474_S3_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/4474_S3_L002_R1_001_fc_fastqc.zip
FastQC	all_sections	X2654MINUS_S13_L002_R2_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/X2654MINUS_S13_L002_R2_001_fc_fastqc.zip
FastQC	all_sections	DC4PLUS_S12_L002_R1_001_fc	/gpfs/summit/scratch/camcd@colostate.edu/Florida-panther-virus/results/fastqc/trimmed/DC4PLUS_S12_L002_R1_001_fc_fastqc.zip
